registration_code,school_short_name,school_full_name,school_old_name,district,education_office,post_adress,longitude,latitude,places_amount,pupils,staf,students_per_teacher
25547142,Гімназія «Провесінь»,Гімназія «Провесінь» Львівської міської ради,"Навчально-виховний комплекс «Школа-садок ""Провесінь""» Львівської міської ради",Личаківський,Відділ освіти Сихівського та Личаківського районів,"79067, м. Львів, вул. Глинянський Тракт, 151б",24.09856722,49.84200779,390.0,324,83.01,3.9031441994940366
25257757,Гімназія «Тривіта»,Гімназія «Тривіта» Львівської міської ради,Загальноосвітня авторська школа «Тривіта» м. Львова,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79066, м. Львів, вул. Зубрівська, 1",24.06428676,49.79865078,342.0,305,57.97,5.261342073486286
37123549,Загальноосвітня середня школа I-III ст. «Лідер» з різними формами навчання,Загальноосвітня середня школа I-III ступенів «Лідер» з різними формами навчання,Середня загальноосвітня школа «Лідер»,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79014, м. Львів, вул. М. Некрасова, 59",24.05840562,49.83627689,660.0,401,63.39,6.3259189146553085
23887388,Загальноосвітня школа «Берегиня»,Загальноосвітня школа «Берегиня» м. Львова,Загальноосвітня школа «Берегиня»,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79495, м. Львів, Винники, вул. Галицька, 38",24.141412,49.816937,190.0,185,38.17,4.846738276133088
23887282,Ліцей №24 ім. М. Конопницької ,Ліцей №24 ім. М. Конопницької ,Загальноосвітня школа І-ІІІ ст. №24 ім. М. Конопницької ,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79005, м. Львів, вул. О. Кониського, 4",24.03933056,49.83635615,240.0,289,44.19,6.539941163159086
25251996,Класична гімназія при Львівському національному університеті ім. Івана Франка,Класична гімназія при Львівському національному університеті ім. Івана Франка,Класична гімназія при Львівському національному університеті ім. Івана Франка,Франківський,Відділ освіти Галицького та Франківського районів,"79041, м. Львів, вул. Порохова, 3",23.98836128,49.8280576,450.0,491,78.14,6.283593550038392
22336048,Ліцей «Інтелект»,Ліцей “Інтелект“ Львівської міської ради,Львівська спеціалізована школа І-ІІІ ступенів № 69 Львівської міської ради Львівської області,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79034, м. Львів, вул. Запорізька, 20",24.0348972,49.81564625,600.0,481,72.11,6.670364720565802
23887365,Ліцей «Львівський»,"Ліцей ""Львівський""","Навчально-виховний комплекс ""Школа І ступеня-гімназія""",Личаківський,Відділ освіти Сихівського та Личаківського районів,"79032, м. Львів, вул. Лисеницька, 3",24.08169964,49.81726749,800.0,891,111.19,8.013310549509848
26412763,Ліцей «Надія»,"Ліцей ""Надія"" Львівської міської ради","Львівська спеціалізована школа ""Надія"" з поглибленим вивченням предметів еколого-правового профілю",Франківський,Відділ освіти Галицького та Франківського районів,"79060, м. Львів, вул. Наукова, 60",23.99473613,49.80572438,320.0,325,68.11,4.771692849801791
23887402,Ліцей «Просвіта»,"Ліцей ""Просвіта""",Львівська загальноосвітня школа-інтернат №2 Львівської міської ради,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79008, м. Львів, вул. Просвіти, 2/4",24.038224,49.841922,300.0,192,86.25,2.226086956521739
22335988,Ліцей «Сихівський»,"Ліцей ""Сихівський""","Навчально-виховний комплекс «Школа-гімназія ""Сихівська""»",Сихівський,Відділ освіти Сихівського та Личаківського районів,"79070, м. Львів, вул. Г. Хоткевича, 48",24.0441691,49.79653234,1350.0,1397,159.61,8.752584424534803
22350226,Ліцей №15,Ліцей №15 Львівської міської ради,Спеціалізована середня загальноосвітня школа №15 з поглибленим вивченням англійської та французької мов,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79040, м. Львів, вул. Є. Патона, 7",23.96400046,49.82081532,822.0,849,116.81,7.2682133378991525
